"Name","PCGamingWiki","Category","Info","Product fit","Actionable feedback"
"NetHack","yes","Permadeath roguelike/roguelite runs","**Context:** A strong character can represent hours of equipment, intrinsics, identification knowledge, and dungeon progress, all lost on one death.

**How progress is saved:** Saving is suspend-and-resume: loading consumes the save instead of leaving a reusable rollback point.

**SaveScummer value:** Checkpoint before a dangerous branch, vault, wish experiment, or ascension push. A restore lets you retry the same character instead of rebuilding the run from scratch.","Keep",""
"Caves of Qud","yes","Permadeath roguelike/roguelite runs","**Context:** Classic mode can turn one character into a rare mix of mutations/cybernetics, artifacts, reputation, companions, and deep-world progress.

**How progress is saved:** Classic autosaves and supports Save & Quit, but it does not provide unrestricted rollback slots.

**SaveScummer value:** Checkpoint before a dangerous historic site, deep cave, hostile settlement, or irreversible build experiment. Restore after a death or bad mutation/cybernetic choice without rerolling the character.","Keep",""
"ADOM: Ancient Domains of Mystery","yes","Permadeath roguelike/roguelite runs","**Context:** Traditional-mode characters accumulate artifacts, intrinsics, skills, corruption management, and quest progress that disappear with permadeath.

**How progress is saved:** Traditional mode uses a suspend-style save; Story mode already offers normal save/load and is not the main use case.

**SaveScummer value:** Checkpoint before a major dungeon branch, vault, boss, or corruption-heavy push. Restore the exact late-game character instead of recreating rare artifacts and trained skills.","Keep",""
"Jupiter Hell","yes","Permadeath roguelike/roguelite runs","**Context:** A late run can have a very specific weapon, perk, armor, and resource setup that is difficult to reproduce after death.

**How progress is saved:** Save & Exit preserves the current run for continuation, not as a history of rollback points.

**SaveScummer value:** Checkpoint before a difficult branch, boss, or build-defining gamble. If the fight kills the run, restore the same arsenal and perk setup rather than replaying the early moons.","Keep",""
"NEO Scavenger","yes","Permadeath roguelike/roguelite runs","**Context:** A viable survivor may depend on hard-won clothing, tools, medicine, shelter knowledge, and map progress, while one wound, infection, or bad encounter can end the run.

**How progress is saved:** The game keeps a single current survivor state rather than manual rollback slots.

**SaveScummer value:** Checkpoint before combat, risky scavenging, travel while injured, or an uncertain encounter. Restore a known-good survivor instead of rebuilding the entire survival setup.","Keep",""
"Cogmind","yes","Permadeath roguelike/roguelite runs","**Context:** A deep run can have a highly specific robot assembled from rare propulsion, weapons, utilities, storage, and route choices.

**How progress is saved:** Normal play saves an unfinished run for continuation; built-in rollback aids depend on mode, so the value is highest where those aids are absent.

**SaveScummer value:** Checkpoint before a high-security map, risky route, or major rebuild. Restore the exact machine after a disastrous engagement instead of reconstructing its parts and route.","Keep",""
"Barony","yes","Permadeath roguelike/roguelite runs","**Context:** A late dungeon run can carry rare spellbooks, equipment, levels, food, and a strong party composition that disappears on a wipe.

**How progress is saved:** Save & Quit preserves the active run, but permadeath rules do not give you reusable pre-death checkpoints.

**SaveScummer value:** Checkpoint at a floor boundary before a boss or dangerous stretch. A wipe can then be retried with the same party and loot instead of restarting the dungeon.","Keep",""
"Dead Cells","yes","Permadeath roguelike/roguelite runs","**Context:** A promising run may have rare weapon affixes, mutations, scroll scaling, flask charges, and a route you do not want to reroll.

**How progress is saved:** The active run is persisted for Continue, but the game does not keep earlier pre-biome or pre-boss states for rollback.

**SaveScummer value:** Checkpoint before a boss, risky biome, or major build decision. Restore the exact loadout after death instead of waiting for another run to produce the same synergy.","Keep",""
"Spelunky 2","yes","Permadeath roguelike/roguelite runs","**Context:** The obvious value would be protecting a deep run with rare equipment, quest-chain progress, and access to late-game routes.

**How progress is saved:** The PC game does not normally serialize an active run for Save & Quit; quitting abandons it.

**SaveScummer value:** A file-only SaveScummer cannot reliably preserve the live run, so the useful pre-Olmec or late-route checkpoint requires runtime capture or a mod-created run save.","Keep",""
"FTL: Faster Than Light","yes","Permadeath roguelike/roguelite runs","**Context:** A late ship can have a rare crew, weapon package, augments, systems, and damage state that took several sectors to assemble.

**How progress is saved:** FTL keeps one active-run continuation save that is overwritten as the run advances and disappears when the run ends.

**SaveScummer value:** Checkpoint before a dangerous beacon, sector exit, or Flagship phase. Retry the same ship and strategy after a catastrophic fight instead of rebuilding the run.","Keep",""
